stimulus,colour,congruent,correctresponse,alt1,alt2,Accuracy,RT,Response,Sub_id,Sex
yellow,green,0,x,green,yellow,0,4.6377502999967,m,1,Female
red,blue,0,x,blue,red,1,2.75265879998915,x,1,Female
blue,yellow,0,m,blue,yellow,1,2.03290570003446,m,1,Female
green,red,0,x,red,green,1,2.57798329996876,x,1,Female
yellow,red,0,m,yellow,red,0,1.72962240001652,x,1,Female
red,red,1,x,red,yellow,1,5.15265020000516,x,1,Female
yellow,blue,0,m,yellow,blue,1,2.91315239999676,m,1,Female
yellow,yellow,1,m,red,yellow,1,3.664593399968,m,1,Female
blue,blue,1,m,red,blue,1,2.00150280003436,m,1,Female
green,green,1,x,green,yellow,1,1.85760160000063,x,1,Female
yellow,yellow,1,x,yellow,blue,1,1.92103669996141,x,1,Female
green,red,0,m,green,red,1,2.8473053999478,m,1,Female
red,yellow,0,x,yellow,red,1,2.12878659996204,x,1,Female
red,blue,0,m,red,blue,1,1.95377649995498,m,1,Female
red,green,0,x,green,red,1,2.92975130002014,x,1,Female
red,red,1,x,red,green,1,4.24070920003578,x,1,Female
green,yellow,0,m,green,yellow,1,3.64805339998566,m,1,Female
blue,yellow,0,x,yellow,blue,1,3.34469950001221,x,1,Female
blue,green,0,m,blue,green,1,2.01755409996258,m,1,Female
green,blue,0,m,green,blue,1,5.88896350003779,m,1,Female
green,blue,0,x,blue,green,1,2.35389329999452,x,1,Female
green,green,1,m,red,green,1,8.9286838999833,m,1,Female
red,yellow,0,m,red,yellow,1,5.29682909999974,m,1,Female
blue,green,0,x,green,blue,1,6.47849180002231,x,1,Female
red,red,1,m,blue,red,1,3.45715939998627,m,1,Female
green,yellow,0,x,yellow,green,1,2.17691550002201,x,1,Female
red,red,1,x,red,blue,1,1.53787749999901,x,1,Female
blue,blue,1,x,blue,green,1,1.31317979999585,x,1,Female
red,red,1,m,green,red,1,0.978466200002003,m,1,Female
green,green,1,x,green,red,1,0.992333800008055,x,1,Female
yellow,blue,0,x,blue,yellow,1,1.82471690000966,x,1,Female
yellow,yellow,1,m,green,yellow,1,1.13725240004715,m,1,Female
blue,blue,1,m,yellow,blue,1,3.52136880002217,m,1,Female
red,green,0,m,red,green,1,2.36779390001902,m,1,Female
green,green,1,m,blue,green,1,3.44052249996457,m,1,Female
yellow,yellow,1,m,blue,yellow,1,3.40994059998775,m,1,Female
blue,red,0,m,blue,red,1,3.12108909996459,m,1,Female
blue,blue,1,m,green,blue,1,2.72031539998716,m,1,Female
blue,blue,1,x,blue,yellow,1,2.46485160000157,x,1,Female
green,green,1,m,yellow,green,1,4.12773330003256,m,1,Female
yellow,yellow,1,x,yellow,red,1,3.82516369997757,x,1,Female
green,green,1,x,green,blue,1,3.37747230002424,x,1,Female
yellow,green,0,m,yellow,green,0,1.48911200003931,x,1,Female
blue,red,0,x,red,blue,0,2.09693319996586,m,1,Female
yellow,red,0,x,red,yellow,1,3.23271459998796,x,1,Female
red,red,1,m,yellow,red,1,3.58501260000048,m,1,Female
yellow,yellow,1,x,yellow,green,1,1.29748980002478,x,1,Female
blue,blue,1,x,blue,red,1,1.29688320000423,x,1,Female
blue,blue,1,m,yellow,blue,1,3.73932400002377,m,0,Male
green,red,0,m,green,red,1,2.46379429998342,m,0,Male
yellow,yellow,1,m,green,yellow,1,1.21584499999881,m,0,Male
green,yellow,0,m,green,yellow,1,4.04953939997358,m,0,Male
blue,green,0,m,blue,green,1,2.113365600002,m,0,Male
green,yellow,0,x,yellow,green,1,1.53779249999207,x,0,Male
yellow,yellow,1,x,yellow,red,1,1.69683989998885,x,0,Male
red,red,1,x,red,blue,1,1.56796249997569,x,0,Male
green,green,1,m,yellow,green,1,1.69717450003373,m,0,Male
green,green,1,m,blue,green,1,1.48840299999574,m,0,Male
yellow,green,0,m,yellow,green,1,1.75988440000219,m,0,Male
yellow,yellow,1,x,yellow,green,1,3.34474009997211,x,0,Male
blue,blue,1,m,green,blue,1,1.31281939998735,m,0,Male
blue,blue,1,x,blue,green,1,1.31307519995607,x,0,Male
green,blue,0,m,green,blue,1,1.3455929000047,m,0,Male
red,blue,0,x,blue,red,1,2.22530339995865,x,0,Male
yellow,yellow,1,m,red,yellow,1,1.53696480003418,m,0,Male
blue,green,0,x,green,blue,1,1.43968229996972,x,0,Male
yellow,green,0,x,green,yellow,1,2.84806659998139,x,0,Male
red,red,1,x,red,yellow,1,1.23306550004054,x,0,Male
red,green,0,x,green,red,1,2.24076600000262,x,0,Male
green,green,1,x,green,red,1,1.4889052999788,x,0,Male
red,red,1,m,yellow,red,1,4.11379440000746,m,0,Male
red,red,1,x,red,green,1,1.16911170003004,x,0,Male
blue,blue,1,x,blue,red,1,0.897349299979396,x,0,Male
yellow,blue,0,m,yellow,blue,1,2.59271180001087,m,0,Male
green,green,1,x,green,blue,1,1.53719750000164,x,0,Male
blue,blue,1,x,blue,yellow,1,1.32922890002374,x,0,Male
red,blue,0,m,red,blue,1,2.01732210000046,m,0,Male
red,red,1,m,green,red,1,1.55303569999523,m,0,Male
yellow,blue,0,x,blue,yellow,1,2.30474870000035,x,0,Male
green,red,0,x,red,green,1,1.76210440002615,x,0,Male
red,yellow,0,m,red,yellow,1,1.71382290002657,m,0,Male
red,yellow,0,x,yellow,red,1,4.28922579996288,x,0,Male
blue,red,0,m,blue,red,0,1.04116070002783,x,0,Male
green,blue,0,x,blue,green,1,1.87257639999734,x,0,Male
blue,red,0,x,red,blue,1,2.36900140001671,x,0,Male
red,red,1,m,blue,red,1,2.9135937000392,m,0,Male
yellow,red,0,x,red,yellow,1,1.60088800004451,x,0,Male
red,green,0,m,red,green,1,1.13626870000735,m,0,Male
yellow,yellow,1,x,yellow,blue,1,1.44205990002956,x,0,Male
yellow,yellow,1,m,blue,yellow,1,1.59878679999383,m,0,Male
blue,blue,1,m,red,blue,1,2.76796759996796,m,0,Male
blue,yellow,0,x,yellow,blue,1,2.09752640000079,x,0,Male
green,green,1,x,green,yellow,1,3.13604020001367,x,0,Male
yellow,red,0,m,yellow,red,1,1.63371249998454,m,0,Male
blue,yellow,0,m,blue,yellow,1,2.20954010001151,m,0,Male
green,green,1,m,red,green,1,1.20023519999813,m,0,Male
red,red,1,x,red,blue,1,1.96161739999661,x,3,Male
yellow,red,0,x,red,yellow,0,2.22123140003532,m,3,Male
yellow,yellow,1,x,yellow,red,1,3.49052990000928,x,3,Male
yellow,yellow,1,m,blue,yellow,1,2.60798790003173,m,3,Male
green,green,1,x,green,yellow,1,1.28111559996614,x,3,Male
blue,blue,1,m,green,blue,1,1.12197099998593,m,3,Male
blue,red,0,x,red,blue,1,2.48078869999154,x,3,Male
blue,green,0,x,green,blue,1,2.17810520000057,x,3,Male
green,green,1,m,red,green,1,2.19314480002504,m,3,Male
yellow,green,0,m,yellow,green,0,1.71307350002462,x,3,Male
green,yellow,0,x,yellow,green,1,3.24872640002286,x,3,Male
red,yellow,0,x,yellow,red,1,1.88979270000709,x,3,Male
red,red,1,x,red,yellow,1,1.26341539999703,x,3,Male
green,blue,0,m,green,blue,1,2.19389219995355,m,3,Male
blue,yellow,0,m,blue,yellow,1,1.80935360002331,m,3,Male
green,green,1,m,yellow,green,1,2.52953300002264,m,3,Male
red,blue,0,m,red,blue,1,2.7517860000371,m,3,Male
yellow,yellow,1,x,yellow,blue,1,1.96777270000894,x,3,Male
blue,green,0,m,blue,green,1,2.27323809999507,m,3,Male
green,green,1,x,green,red,1,1.44025540002622,x,3,Male
red,red,1,m,green,red,1,2.20939459995134,m,3,Male
red,blue,0,x,blue,red,1,1.15129210002488,x,3,Male
red,yellow,0,m,red,yellow,1,2.8981547000003,m,3,Male
yellow,green,0,x,green,yellow,1,1.39229190000333,x,3,Male
green,red,0,x,red,green,1,1.61743620003108,x,3,Male
blue,blue,1,x,blue,red,1,2.11241230001906,x,3,Male
blue,red,0,m,blue,red,1,1.42516590002924,m,3,Male
yellow,blue,0,x,blue,yellow,1,2.19247950002318,x,3,Male
yellow,yellow,1,m,green,yellow,1,1.57232109998586,m,3,Male
red,red,1,m,yellow,red,1,2.01631370000541,m,3,Male
blue,yellow,0,x,yellow,blue,1,2.46504179999465,x,3,Male
blue,blue,1,x,blue,yellow,1,1.39281759998994,x,3,Male
red,green,0,m,red,green,1,2.62478249997366,m,3,Male
yellow,yellow,1,x,yellow,green,1,1.56871990003856,x,3,Male
green,blue,0,x,blue,green,1,1.58400640002219,x,3,Male
yellow,blue,0,m,yellow,blue,1,1.79312369995751,m,3,Male
blue,blue,1,m,yellow,blue,1,1.63299299997743,m,3,Male
red,red,1,x,red,green,1,1.6809637999977,x,3,Male
red,green,0,x,green,red,1,1.47289390000515,x,3,Male
yellow,yellow,1,m,red,yellow,1,1.23360149998916,m,3,Male
green,yellow,0,m,green,yellow,1,1.90543949999847,m,3,Male
green,green,1,x,green,blue,1,1.31106119998731,x,3,Male
green,green,1,m,blue,green,1,1.23281359998509,m,3,Male
green,red,0,m,green,red,1,1.28057140001329,m,3,Male
blue,blue,1,m,red,blue,1,1.27668209996773,m,3,Male
yellow,red,0,m,yellow,red,1,1.69630149996374,m,3,Male
red,red,1,m,blue,red,1,1.23309779999545,m,3,Male
blue,blue,1,x,blue,green,1,1.56816630001413,x,3,Male
green,green,1,x,green,blue,1,3.71997410000768,x,4,Female
green,red,0,m,green,red,1,2.55952889996115,m,4,Female
blue,yellow,0,x,yellow,blue,1,2.22439470002428,x,4,Female
yellow,green,0,m,yellow,green,1,5.4086871999898,m,4,Female
blue,blue,1,m,red,blue,1,3.08899260003818,m,4,Female
red,green,0,m,red,green,1,3.4882356999442,m,4,Female
green,yellow,0,m,green,yellow,1,5.84014960000059,m,4,Female
red,yellow,0,m,red,yellow,1,2.40043709997553,m,4,Female
red,red,1,m,blue,red,1,3.07363830000395,m,4,Female
blue,yellow,0,m,blue,yellow,1,3.00961540004937,m,4,Female
blue,red,0,x,red,blue,1,1.84024370001862,x,4,Female
yellow,blue,0,m,yellow,blue,1,1.88908209995134,m,4,Female
red,blue,0,m,red,blue,1,3.10370099998545,m,4,Female
yellow,yellow,1,m,red,yellow,1,3.21584530000109,m,4,Female
blue,blue,1,m,green,blue,1,2.64153009996517,m,4,Female
yellow,blue,0,x,blue,yellow,1,3.29740470001707,x,4,Female
red,green,0,x,green,red,1,2.70428960002027,x,4,Female
green,red,0,x,red,green,1,1.48911490000319,x,4,Female
green,green,1,m,yellow,green,1,2.89676039997721,m,4,Female
red,red,1,x,red,green,1,3.32998390001012,x,4,Female
blue,green,0,x,green,blue,1,2.01652210002067,x,4,Female
blue,blue,1,x,blue,yellow,1,5.10603780002566,x,4,Female
blue,blue,1,m,yellow,blue,1,2.67176789999939,m,4,Female
blue,blue,1,x,blue,green,1,2.65591109998059,x,4,Female
green,green,1,x,green,red,1,2.28891419997672,x,4,Female
red,blue,0,x,blue,red,0,1.87239859998226,m,4,Female
red,red,1,m,green,red,1,7.48900699999649,m,4,Female
red,yellow,0,x,yellow,red,1,2.6552776999888,x,4,Female
red,red,1,m,yellow,red,1,2.3211733000353,m,4,Female
red,red,1,x,red,blue,1,2.84832420002203,x,4,Female
yellow,yellow,1,x,yellow,green,1,2.16046240000287,x,4,Female
green,blue,0,x,blue,green,1,2.92806120001478,x,4,Female
blue,blue,1,x,blue,red,1,3.20012530003441,x,4,Female
yellow,yellow,1,x,yellow,red,1,2.37148850003723,x,4,Female
yellow,green,0,x,green,yellow,0,1.5788320999709,m,4,Female
green,green,1,x,green,yellow,1,4.69565580005292,x,4,Female
green,green,1,m,blue,green,1,2.11250220000511,m,4,Female
yellow,yellow,1,x,yellow,blue,1,1.05270070000552,x,4,Female
red,red,1,x,red,yellow,1,1.74381449999055,x,4,Female
blue,red,0,m,blue,red,1,2.6397605999955,m,4,Female
yellow,red,0,m,yellow,red,1,2.28833430004306,m,4,Female
yellow,yellow,1,m,blue,yellow,1,1.88766840001335,m,4,Female
green,blue,0,m,green,blue,1,1.88847789994907,m,4,Female
yellow,yellow,1,m,green,yellow,1,3.74485479999566,m,4,Female
green,green,1,m,red,green,1,2.24098820000654,m,4,Female
yellow,red,0,x,red,yellow,1,1.83059570001205,x,4,Female
blue,green,0,m,blue,green,1,1.88915389997419,m,4,Female
green,yellow,0,x,yellow,green,1,1.87433890003013,x,4,Female
yellow,yellow,1,m,green,yellow,1,1.33347270003287,m,2,Male
yellow,blue,0,x,blue,yellow,1,0.946282200049609,x,2,Male
green,yellow,0,x,yellow,green,1,1.26483260001987,x,2,Male
blue,yellow,0,x,yellow,blue,1,1.68147630000021,x,2,Male
yellow,red,0,x,red,yellow,1,0.816438299953006,x,2,Male
blue,blue,1,m,green,blue,1,0.737075000011828,m,2,Male
red,red,1,x,red,green,1,0.721286299987696,x,2,Male
red,red,1,m,blue,red,1,0.623599100043066,m,2,Male
blue,blue,1,x,blue,red,1,0.878692300000694,x,2,Male
green,green,1,x,green,red,1,0.623750200029463,x,2,Male
red,green,0,x,green,red,1,1.29715069994563,x,2,Male
green,red,0,x,red,green,1,1.3770688000368,x,2,Male
